Date,State,TotalSamples,Negative,Positive
17/04/2020,Andaman and Nicobar Islands,1403,1210,12
24/04/2020,Andaman and Nicobar Islands,2679,,27
27/04/2020,Andaman and Nicobar Islands,2848,,33
1/05/2020,Andaman and Nicobar Islands,3754,,33
16/05/2020,Andaman and Nicobar Islands,6677,,33
19/05/2020,Andaman and Nicobar Islands,6965,,33
20/05/2020,Andaman and Nicobar Islands,7082,,33
21/05/2020,Andaman and Nicobar Islands,7167,,33
22/05/2020,Andaman and Nicobar Islands,7263,,33
23/05/2020,Andaman and Nicobar Islands,7327,,33
24/05/2020,Andaman and Nicobar Islands,7327,,33
25/05/2020,Andaman and Nicobar Islands,7363,,33
26/05/2020,Andaman and Nicobar Islands,7448,,33
27/05/2020,Andaman and Nicobar Islands,7499,,33
28/05/2020,Andaman and Nicobar Islands,7519,,33
29/05/2020,Andaman and Nicobar Islands,7567,,33
30/05/2020,Andaman and Nicobar Islands,7567,,33
31/05/2020,Andaman and Nicobar Islands,7706,,33
1/06/2020,Andaman and Nicobar Islands,7805,,33
2/06/2020,Andaman and Nicobar Islands,8086,,33
3/06/2020,Andaman and Nicobar Islands,8295,,33
4/06/2020,Andaman and Nicobar Islands,8413,,33
5/06/2020,Andaman and Nicobar Islands,8694,,33
6/06/2020,Andaman and Nicobar Islands,9037,,33
7/06/2020,Andaman and Nicobar Islands,9242,,33
8/06/2020,Andaman and Nicobar Islands,9341,,33
9/06/2020,Andaman and Nicobar Islands,9859,,33
10/06/2020,Andaman and Nicobar Islands,10010,,35
11/06/2020,Andaman and Nicobar Islands,10226,,38
12/06/2020,Andaman and Nicobar Islands,10697,,38
13/06/2020,Andaman and Nicobar Islands,10955,,38
14/06/2020,Andaman and Nicobar Islands,11356,,38
15/06/2020,Andaman and Nicobar Islands,11518,,41
2/04/2020,Andhra Pradesh,1800,1175,132
10/04/2020,Andhra Pradesh,6374,6009,365
11/04/2020,Andhra Pradesh,6958,6577,381
12/04/2020,Andhra Pradesh,6958,6553,405
13/04/2020,Andhra Pradesh,8755,8323,432
14/04/2020,Andhra Pradesh,10505,10032,473
15/04/2020,Andhra Pradesh,11613,11088,525
16/04/2020,Andhra Pradesh,20235,19701,534
17/04/2020,Andhra Pradesh,20235,,572
18/04/2020,Andhra Pradesh,21450,20487,603
